Steps,Policy/Entropy,Environment/Lesson/PathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
2490000,0.7158286,4.0,61.45867768595041,0.69499147,1.2623521,0.9220305114370031,0.9220305114370031,0.17205384631362772,0.0112823425,0.07000069,0.000275252,0.19175066,0.009175891,0.013587782,0.024351003,1.0
2520000,0.7501891,4.0,67.57369614512471,0.6560952,1.1471672,0.9054189992908439,0.9054189992908439,0.2153111522157605,0.010408045,0.070949785,0.00027494677,0.19164892,0.009165726,0.01459603,0.030596524,1.0
2550000,0.8040428,4.0,69.24465558194774,0.64113814,1.1688455,0.9070176143199206,0.9070176143199206,0.24234792520957335,0.011261971,0.073105656,0.00027465337,0.19155113,0.009155956,0.016277513,0.055342972,1.0
2580000,0.69694424,4.0,68.05742574257425,0.70571554,1.2985361,0.9140743029270719,0.9140743029270719,0.2268968820940011,0.011073579,0.06713624,0.0002743509,0.1914503,0.009145884,0.014663825,0.026280502,1.0
2610000,0.7104541,4.0,49.08369098712446,0.6981034,1.2859795,0.9444751045286911,0.9444751045286911,0.14363894931064686,0.0120875,0.068714835,0.00027404784,0.19134925,0.00913579,0.014272914,0.02576007,1.0
2640000,0.72077864,4.0,66.53473684210526,0.6909539,1.2714243,0.9143839604869674,0.9143839604869674,0.2208870572493832,0.011580214,0.07054818,0.00027375552,0.19125184,0.009126059,0.01492616,0.038688846,1.0
2670000,0.7539322,4.0,58.20215053763441,0.6908762,1.2928249,0.9286277615455123,0.9286277615455123,0.19165682898119188,0.008669325,0.067763485,0.00027345013,0.19115001,0.00911589,0.015729312,0.04445086,1.0
2700000,0.729839,4.0,72.45766590389016,0.67991674,1.1988692,0.9073995404165077,0.9073995404165077,0.23508421718322434,0.009258838,0.07055333,0.00027314626,0.19104876,0.009105771,0.014852621,0.029472185,1.0
2730000,0.6993785,4.0,60.880630630630634,0.67685795,1.2844365,0.9209950281723358,0.9209950281723358,0.19957286348612663,0.010659275,0.06656866,0.00027284963,0.19094987,0.009095892,0.01426975,0.029750684,1.0
2760000,0.68483645,4.0,65.4776119402985,0.6728163,1.3081828,0.9109213625072924,0.9109213625072924,0.2035637754018112,0.010400647,0.071523584,0.00027255277,0.19085093,0.009086006,0.014437354,0.03664583,1.0
2790000,0.6401881,4.0,57.69230769230769,0.73534465,1.2777833,0.9280722687464067,0.9280722687464067,0.1808733865918595,0.009171603,0.068496004,0.00027224908,0.1907497,0.009075893,0.01451988,0.027554529,1.0
2820000,0.72495425,4.0,53.89484536082474,0.69128406,1.1185703,0.9358381897027488,0.9358381897027488,0.17047019356008794,0.008814319,0.068417445,0.00027194485,0.19064829,0.009065763,0.014855357,0.026403567,1.0
2850000,0.69252354,4.0,58.68560606060606,0.71777743,1.1203945,0.9261613596004971,0.9261613596004971,0.17430490891980077,0.009608052,0.06996251,0.00027164843,0.19054948,0.009055892,0.0133883115,0.020350536,1.0
2880000,0.65898865,4.0,57.1414913957935,0.7286461,1.1515257,0.9276335831759995,0.9276335831759995,0.16211755079650925,0.008732409,0.070539154,0.00027135244,0.19045082,0.009046035,0.012841167,0.02335124,1.0
2910000,0.75346804,4.0,58.9465811965812,0.6850833,1.0445464,0.9252679695685705,0.9252679695685705,0.17482125654427055,0.0064269956,0.06638536,0.00027104982,0.19034995,0.009035957,0.014334294,0.0400069,1.0
2940000,0.6607549,4.0,62.962825278810406,0.7332777,1.0899118,0.9153981613183241,0.9153981613183241,0.19295855931288333,0.0070355674,0.07222141,0.00027074717,0.19024904,0.009025878,0.013885516,0.025153246,1.0
2970000,0.6640406,4.0,50.106261859582546,0.7389602,1.0562043,0.9421459015778133,0.9421459015778133,0.14611860980944974,0.0061810114,0.06979589,0.00027044697,0.190149,0.009015883,0.013808275,0.026696624,1.0
3000000,0.7649659,4.0,59.89224137931034,0.6881287,1.0017774,0.9249376574636021,0.9249376574636021,0.17800883720205588,0.006310381,0.069090076,0.00027014012,0.19004671,0.009005665,0.013783923,0.032727126,1.0
3030000,0.73254234,4.0,66.61584158415842,0.7160621,0.95184183,0.9082966680746023,0.9082966680746023,0.2058872830490864,0.0061862348,0.063018344,0.00026984466,0.18994822,0.008995826,0.014091204,0.033939645,1.0
3060000,0.6883015,4.0,55.865019011406844,0.7219362,0.8917438,0.934624330229179,0.934624330229179,0.16610234711113822,0.005880288,0.06806084,0.00026955217,0.18985072,0.008986086,0.01410917,0.034825455,1.0
3090000,0.70779693,4.0,57.04347826086956,0.7138586,0.88073003,0.9270297569769715,0.9270297569769715,0.17102464011155202,0.005728605,0.07048154,0.00026925738,0.18975246,0.00897627,0.013507429,0.024791224,1.0
