Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
1230000,1.1012466,0.0058063744,0.9732523,0.04973506,0.07061085,0.00026353923,0.18784639,0.008785855,0.0816544,0.15507717,None,0.07700000167824328,0.07700000167824328,100.46319066919386,1.0
1260000,1.1063488,0.0012174334,0.74491423,0.015020442,0.071942486,0.00026266373,0.18755457,0.0087567,0.1195616,1.1332023,None,None,None,None,1.0
1290000,0.9850503,0.0032347923,0.9235109,0.00097089645,0.07274373,0.00026174207,0.18724737,0.008726011,0.04916948,0.21548133,None,None,None,None,1.0
1320000,1.130253,0.002666807,0.5398106,0.0034685459,0.07154182,0.0002608205,0.18694016,0.008695322,0.05937029,0.5307397,9999.0,0.021090909669345074,0.021090909669345074,83.33716452663595,1.0
1350000,0.90364003,0.0054026693,2.0641317,4.3150783,0.072578736,0.00025993923,0.1866464,0.008665975,0.20075399,1.709549,None,0.0290000009117648,0.0290000009117648,96.09002935886383,1.0
1380000,0.9179397,0.008831054,1.9407808,0.008137635,0.07087996,0.00025906373,0.18635455,0.00863682,0.08720264,3.8096576,None,None,None,None,1.0
1410000,1.0012529,0.0029236304,1.6334691,0.0053563756,0.068088725,0.0002581421,0.18604735,0.00860613,0.08359325,0.7248892,None,None,None,None,1.0
1440000,0.9866583,-0.0017391986,1.9201587,0.008594723,0.06913918,0.0002572205,0.18574016,0.008575441,0.0617735,0.09564297,9999.0,0.07245454754130068,0.07245454754130068,224.07952727622944,1.0
1470000,1.0625727,0.025263013,1.8433712,6.3187766,0.06878358,0.0002563392,0.1854464,0.008546095,0.18307579,0.5858253,None,0.07700000132899731,0.07700000132899731,353.9951396137476,1.0
1500000,1.0939626,0.0052162386,1.3659102,0.002336802,0.06557765,0.0002554637,0.18515456,0.00851694,0.048864406,0.105144605,None,None,None,None,1.0
1530000,0.92170346,0.0018734387,1.1815788,0.0025710568,0.06747967,0.0002545421,0.18484735,0.008486251,0.05963411,0.11496099,None,None,None,None,1.0
1560000,0.8878505,-0.0015289392,0.6590458,0.00046755862,0.0716636,0.00025362047,0.18454015,0.0084555615,0.016355231,0.0111032,9999.0,0.07490909247743813,0.07490909247743813,252.82484583378854,1.0
1590000,1.1717527,0.010579688,1.2548511,1.7434121,0.071607776,0.0002527392,0.18424639,0.008426215,0.07055211,0.2005496,None,0.0810000014025718,0.0810000014025718,235.60922621376812,1.0
1620000,1.1343973,-0.000270236,0.58255965,0.007326834,0.06869219,0.0002518637,0.18395457,0.00839706,0.027417775,0.08519379,None,None,None,None,1.0
1650000,0.94516027,-0.013256761,0.85243493,0.014017006,0.072893545,0.0002509421,0.18364736,0.008366371,0.074190214,0.14425842,None,None,None,None,1.0
1680000,1.0998603,-0.0072581074,0.6446837,0.00070617156,0.070930004,0.0002500205,0.18334016,0.008335683,0.019293383,0.041035175,9999.0,0.05154545573433014,0.05154545573433014,142.86381268298084,1.0
